Airport,namethe,third,quarter,,,,,,
of,2023the,third,quarter,,,,,,
of,2022dynamics,,,,,,,,
2023/2022,,,,,,,,,
Warsaw,Chopin,Airport,26,866,190,26,621,304,"0,9%"
Rzeszow,-,Jasionka,17,080,648,13,282,072,"28,6%"
Katowice,-,Pyrzowice*,6,955,824,9,193,500,"-24,3%"
Gdansk,Lech,Walesa,2,249,360,2,413,678,"-6,8%"
Wroclaw,-,Strachowice,480,207,524,766,"-8,5%",,
Poznan,-,Lawica,14,103,4,644,"203,7%",,
Lublin,4,733,0,-,,,,,
Szczecin,-,Goleniow,0,68,203,"-100,0%",,,
Bydgoszcz,0,4,055,"-100,0%",,,,,
Lodz,0,241,"-100,0%",,,,,,
Krakow,-,Balice,0,0,-,,,,
Warsaw,-,Radom,Airport,0,0,-,,,
Olsztyn-Mazury,0,0,-,,,,,,
Warsaw/Modlin,0,0,-,,,,,,
Zielona,Gora,-,Babimost,0,0,-,,,
Total,53,651,065,52,112,463,"3,0%",,
